Name,RA (J2000),Dec (J2000),Object Type,cz [km/s],z-flag,Redshift Reference,PA [deg],Sep. [Mpc],Δcz [km/s]
2MASX J15494632+2549228,15h49m46.30s,+25d49m22.5s,G,9791,,2007SDSS6.C...0000:,54.7,5.2061,4357
SDSS J153551.25+273514.4,15h35m51.25s,+27d35m14.4s,G,9723,,2011ApJ...735..125S,2.8,5.2078,4289
CGCG 165-042,15h21m50.03s,+26d18m45.9s,G,10350,,2007SDSS6.C...0000:,-46.0,5.2108,4916
2MASX J15303690+2728556,15h30m36.90s,+27d28m55.7s,G,10227,,2011ApJ...735..125S,-13.6,5.2185,4792
SDSS J154814.85+261650.1,15h48m14.86s,+26d16m50.1s,G,6722,,2005SDSS4.C...0000:,46.7,5.2198,1288
LDCE 1145,15h43m55.10s,+27d04m12.0s,GGroup,9702,,2008ApJ...685.1320C,29.1,5.2240,4268
SDSS J153424.38+273646.5,15h34m24.39s,+27d36m46.6s,G,9634,,2011AJ....142..170H,-1.7,5.2364,4200
SDSS J153612.62+273620.4,15h36m12.63s,+27d36m20.4s,G,9923,,2011ApJ...735..125S,3.9,5.2372,4489
SDSS J153453.91+273710.7,15h34m53.92s,+27d37m10.8s,G,9851,,2011ApJ...735..125S,-0.2,5.2427,4417
SDSS J151926.02+253734.7,15h19m26.02s,+25d37m34.7s,G,9059,,2007SDSS6.C...0000:,-58.2,5.2446,3625
2MASX J15192604+2537348,15h19m26.02s,+25d37m34.7s,G,8994,,2007SDSS6.C...0000:,-58.2,5.2446,3560
2MASX J15192829+2538332,15h19m28.28s,+25d38m33.1s,G,9682,,2007SDSS6.C...0000:,-57.9,5.2457,4248
UGC 10073,15h52m20.73s,+24d37m35.8s,G,9589,,1991RC3.9.C...0000d,73.3,5.2542,4155
SDSS J151936.93+254246.9,15h19m36.94s,+25d42m46.9s,G,10382,,2007SDSS6.C...0000:,-56.8,5.2565,4948
2MASX J15195042+2550012,15h19m50.39s,+25d50m02.1s,G,10205,,2007SDSS6.C...0000:,-55.1,5.2850,4771
2MASX J15201627+2559194,15h20m16.27s,+25d59m18.9s,G,10341,,2007SDSS6.C...0000:,-52.5,5.2954,4907
2MASX J15501535+2546572,15h50m15.48s,+25d46m58.9s,G,9869,,2007SDSS6.C...0000:,56.0,5.2954,4435
CGCG 136-088,15h49m28.19s,+21d02m02.8s,G,9381,,1992ApJS...79..157F,125.6,5.3082,3947
UGC 10074,15h52m47.86s,+24d23m24.8s,G,9613,,1991RC3.9.C...0000d,76.8,5.3136,4179
KUG 1550+243,15h52m56.61s,+24d13m23.6s,G,9586,,2011AJ....142..170H,79.2,5.3176,4152
SDSS J152731.02+271943.1,15h27m31.02s,+27d19m43.2s,G,9687,,2011ApJ...735..125S,-23.3,5.3208,4253
2MASX J15192176+2543168,15h19m21.75s,+25d43m17.0s,G,10261,,2007SDSS6.C...0000:,-57.2,5.3243,4827
SDSS J153931.34+273321.6,15h39m31.34s,+27d33m21.6s,G,10008,,2005SDSS4.C...0000:,14.0,5.3260,4574
2MASX J15203440+2607250,15h20m34.42s,+26d07m25.1s,G,10065,,2007SDSS6.C...0000:,-50.5,5.3298,4631
SDSS J155147.35+215623.6,15h51m47.36s,+21d56m23.7s,G,7872,,2007SDSS6.C...0000:,111.1,5.3299,2438
2MASX J15314561+2737409,15h31m45.62s,+27d37m40.4s,G,10025,,1998AJ....116.1529H,-9.7,5.3329,4591
SDSS J151933.73+254845.3,15h19m33.73s,+25d48m45.4s,G,10292,,2007SDSS6.C...0000:,-55.8,5.3372,4858
UGCl 371 NED02,15h50m47.57s,+21d27m00.5s,GClstr,4865,,1984A&AS...56..363B,118.5,5.3431,-569
CGCG 135-046,15h19m25.35s,+25d47m13.6s,G,9763,,1999PASP..111..438F,-56.3,5.3537,4329
2MASX J15191680+2544168,15h19m16.81s,+25d44m16.6s,G,10126,,2007SDSS6.C...0000:,-57.1,5.3555,4692
2MASX J15455527+2654333,15h45m55.29s,+26d54m33.3s,G,9789,,2006SDSS5.C...0000:,35.5,5.3664,4355
SDSS J151859.83+253847.7,15h18m59.83s,+25d38m47.8s,G,9599,,2007SDSS6.C...0000:,-58.6,5.3665,4165
MRK 1397,15h16m59.16s,+24d29m17.5s,G,6504,,2007SDSS6.C...0000:,-75.6,5.3751,1070
2MASX J15515935+2156037,15h51m59.35s,+21d56m03.8s,G,7748,,2007SDSS6.C...0000:,110.9,5.3872,2314
SDSS J152122.89+203933.2,15h21m22.90s,+20d39m33.3s,G,4619,,2011ApJ...735..125S,-131.5,5.3994,-815
2MASX J15342462+2744454,15h34m24.62s,+27d44m45.0s,G,10245,,2011ApJ...735..125S,-1.6,5.4062,4810
SDSS J154754.56+202915.1,15h47m54.56s,+20d29m15.1s,G,7519,,2007SDSS6.C...0000:,134.5,5.4202,2085
UGC 10058,15h50m24.19s,+25d55m20.9s,G,2148,,1990ApJS...72..245S,54.6,5.4277,-3286
2MASX J15292274+2734444,15h29m22.76s,+27d34m44.7s,G,10128,,2011ApJ...735..125S,-16.8,5.4329,4694
[TSK2008] 1240,15h50m23.40s,+25d56m08.8s,GGroup,2154,,2008ApJ...676..184T,54.4,5.4340,-3280
2MASX J15290786+1927193,15h29m07.86s,+19d27m18.9s,G,8797,,2007SDSS6.C...0000:,-161.2,5.4368,3363
SDSS J154958.98+260548.2,15h49m58.98s,+26d05m48.3s,G,9884,,2005SDSS4.C...0000:,52.0,5.4572,4450
SDSS J151713.32+245529.5,15h17m13.33s,+24d55m29.6s,G,10278,,2011ApJ...735..125S,-69.7,5.4585,4844
UGC 10063,15h51m08.30s,+25d43m20.0s,G,6470,,1990ApJS...72..245S,58.1,5.4714,1036
UGC 10064,15h51m13.28s,+25d42m06.9s,G,6413,,1999PASP..111..438F,58.4,5.4791,979
[RPG97] 362,15h49m48.25s,+20d53m56.8s,GGroup,10230,,1997AJ....113..483R,126.4,5.4923,4795
CGCG 106-038,15h25m05.23s,+19d50m05.3s,G,6871,,1999PASP..111..438F,-147.5,5.5097,1437
MRK 0692,15h53m45.63s,+23d08m36.5s,G,4269,,2007SDSS6.C...0000:,93.8,5.5182,-1165
2MASX J15330509+1911111,15h33m05.08s,+19d11m12.2s,G,8816,,2007SDSS6.C...0000:,-174.2,5.5261,3382
SDSS J155109.76+254931.9,15h51m09.77s,+25d49m32.0s,G,2164,,2007SDSS6.C...0000:,56.9,5.5451,-3270
SDSS J154136.73+192550.6,15h41m36.74s,+19d25m50.7s,G,7395,,2007SDSS6.C...0000:,158.9,5.5499,1961
MSPM 01081,15h44m04.66s,+27d20m47.0s,GClstr,9737,,2012MNRAS.422...25S,27.7,5.5541,4303
2MASX J15440461+2720469,15h44m04.66s,+27d20m47.1s,G,9917,,2006SDSS5.C...0000:,27.7,5.5542,4482
2MASX J15455910+2706293,15h45m59.10s,+27d06m29.5s,G,9443,,2006SDSS5.C...0000:,34.1,5.5829,4009
SDSS J151941.07+205337.9,15h19m41.07s,+20d53m38.0s,G,4664,,2011ApJ...735..125S,-125.7,5.5959,-770
SDSS J153405.89+275346.3,15h34m05.90s,+27d53m46.3s,G,9769,,2011AJ....142..170H,-2.5,5.6016,4335
MRK 0693,15h54m02.88s,+23d07m52.4s,G,4375,,2007SDSS6.C...0000:,93.9,5.6039,-1059
2MASX J15251777+2719313,15h25m17.76s,+27d19m31.2s,G,9729,,2011ApJ...735..125S,-29.2,5.6054,4295
2MASX J15421011+2735327,15h42m10.08s,+27d35m32.5s,G,10213,,2006SDSS5.C...0000:,21.3,5.6061,4779
SDSS J153310.08+275307.9,15h33m10.16s,+27d53m08.2s,G,10124,,1998AJ....116.1529H,-5.1,5.6061,4690
2MASX J15180963+2542109,15h18m09.65s,+25d42m11.5s,G,9774,,2007SDSS6.C...0000:,-59.2,5.6119,4340
LSBC D514-04,15h19m54.05s,+26d17m39.8s,G,9387,,2007SDSS6.C...0000:,-49.9,5.6165,3953
SDSS J155128.66+254912.6,15h51m28.66s,+25d49m12.6s,G,6617,,2007SDSS6.C...0000:,57.5,5.6192,1183
SDSS J151853.00+255935.0,15h18m53.00s,+25d59m35.0s,G,10362,,2007SDSS6.C...0000:,-54.9,5.6266,4928
SDSS J151852.99+255934.9,15h18m52.99s,+25d59m35.0s,G,10363,,2011ApJ...735..125S,-54.9,5.6266,4929
CGCG 166-039,15h42m11.16s,+27d36m34.8s,G,10182,,2006SDSS5.C...0000:,21.3,5.6285,4748
2MFGC 12656,15h44m12.95s,+27d23m51.8s,G,9725,,2012ApJS..199...26H,27.7,5.6305,4291
2MASX J15524806+2153048,15h52m48.08s,+21d53m04.5s,G,7778,,2007SDSS6.C...0000:,110.6,5.6342,2344
CGCG 136-089,15h49m32.55s,+20d38m42.5s,G,4789,,2005ApJS..160..149S,129.5,5.6379,-645
SDSS J153600.98+275524.8,15h36m00.98s,+27d55m24.9s,G,9879,,2007SDSS6.C...0000:,3.0,5.6395,4445
SDSS J154410.10+272441.1,15h44m10.11s,+27d24m41.1s,G,9609,,2005SDSS4.C...0000:,27.5,5.6395,4175
SDSS J155158.78+212753.9,15h51m58.79s,+21d27m53.9s,G,7423,,2007SDSS6.C...0000:,116.6,5.6424,1989
SDSS J152516.86+272136.0,15h25m16.86s,+27d21m36.1s,G,9661,,2011ApJ...735..125S,-29.0,5.6459,4227
SDSS J154015.26+274722.6,15h40m15.26s,+27d47m22.6s,G,9482,,2011AJ....142..170H,15.3,5.6686,4048
2MASX J15425435+2734358,15h42m54.35s,+27d34m36.2s,G,10269,,2006SDSS5.C...0000:,23.3,5.6699,4835
CGCG 166-048,15h44m08.53s,+27d26m38.8s,G,9711,,1999PASP..111..438F,27.3,5.6727,4277
2MASX J15161882+2450400,15h16m18.85s,+24d50m40.0s,G,6760,,2000AJ....119...32G,-71.5,5.6787,1326
CGCG 135-039,15h16m18.96s,+24d52m02.2s,G,6746,,1992ApJS...79..157F,-71.3,5.6866,1312
SDSS J151618.65+245209.6,15h16m18.66s,+24d52m09.7s,G,6865,,2007SDSS6.C...0000:,-71.2,5.6888,1431
2MASX J15540370+2426564,15h54m03.68s,+24d26m56.1s,G,9175,,2007SDSS6.C...0000:,76.8,5.6890,3741
SDSS J155135.66+211403.3,15h51m35.67s,+21d14m03.3s,G,4946,,2007SDSS6.C...0000:,119.7,5.6892,-488
SDSS J153659.99+275651.4,15h37m00.00s,+27d56m51.4s,G,9807,,2005SDSS4.C...0000:,5.8,5.6924,4372
SDSS J155354.25+222425.2,15h53m54.26s,+22d24m25.2s,G,5894,,2007SDSS6.C...0000:,103.2,5.7300,460
SDSSCGB 18433,15h53m54.80s,+22d24m16.3s,GGroup,5996,,2009MNRAS.395..255M,103.2,5.7334,562
2MASX J15175172+2547028,15h17m51.83s,+25d47m02.8s,G,9465,,2011AJ....142..170H,-58.7,5.7372,4031
2MASX J15412065+2746242,15h41m20.61s,+27d46m23.3s,G,9762,,2006SDSS5.C...0000:,18.3,5.7408,4328
2MASX J15242559+1942589,15h24m25.59s,+19d42m59.3s,G,6944,,2011ApJ...735..125S,-146.6,5.7433,1510
SDSS J155140.32+255607.2,15h51m40.33s,+25d56m07.3s,G,9630,,2005SDSS4.C...0000:,56.5,5.7435,4196
SDSS J151527.72+225014.9,15h15m27.72s,+22d50m14.9s,G,6316,,2007SDSS6.C...0000:,-97.5,5.7700,882
SDSS J155443.17+233609.7,15h54m43.18s,+23d36m09.7s,G,4410,,2007SDSS6.C...0000:,87.8,5.7720,-1024
2MASX J15471040+2706272,15h47m10.44s,+27d06m27.8s,G,9822,,2006SDSS5.C...0000:,36.8,5.7847,4388
SDSS J155150.77+255616.1,15h51m50.78s,+25d56m16.2s,G,6596,,2005SDSS4.C...0000:,56.7,5.7878,1162
CGCG 136-102,15h51m53.04s,+25d58m42.0s,G,6589,,2006SDSS5.C...0000:,56.3,5.8243,1155
2MASX J15181773+2605319,15h18m17.75s,+26d05m32.3s,G,9991,,2011ApJ...735..125S,-54.7,5.8374,4557
SDSS J154700.27+271153.0,15h47m00.27s,+27d11m53.1s,G,9449,,2005SDSS4.C...0000:,35.7,5.8469,4015
SDSS J154437.75+273229.0,15h44m37.75s,+27d32m29.0s,G,9801,,2005SDSS4.C...0000:,27.9,5.8481,4367
SDSS J151821.99+260831.2,15h18m21.99s,+26d08m31.2s,G,10244,,2011ApJ...735..125S,-54.1,5.8560,4810
SDSS J154038.64+275507.5,15h40m38.64s,+27d55m08.2s,G,9354,,2005SDSS4.C...0000:,15.9,5.8582,3920
SDSS J151731.18+255058.4,15h17m31.18s,+25d50m58.4s,G,9844,,2011AJ....142..170H,-58.5,5.8647,4410
SDSS J152806.11+190943.2,15h28m06.12s,+19d09m43.3s,G,8815,,2007SDSS6.C...0000:,-159.5,5.8927,3381
SDSS J155209.73+210746.6,15h52m09.74s,+21d07m46.7s,G,4787,,2007SDSS6.C...0000:,120.0,5.9036,-647
2MASX J15411814+2755082,15h41m18.14s,+27d55m08.4s,G,9860,,2006SDSS5.C...0000:,17.6,5.9139,4426
SDSS J151831.72+261640.4,15h18m31.73s,+26d16m40.5s,G,9824,,2011ApJ...735..125S,-52.5,5.9175,4390
2MASX J15334145+2808436,15h33m41.47s,+28d08m43.6s,G,5606,,1997ApJS..111....1S,-3.4,5.9261,172
2MASX J15440809+2740239,15h44m08.13s,+27d40m24.3s,G,9486,,2006SDSS5.C...0000:,25.9,5.9319,4052
SDSS J154854.70+265543.2,15h48m54.70s,+26d55m43.2s,G,9496,,2005SDSS4.C...0000:,41.9,5.9348,4062
ABELL 2129,15h48m25.28s,+20d02m51.7s,GClstr,8994,,2001MNRAS.327..673V,137.2,5.9370,3560
SDSS J155205.02+260427.8,15h52m05.03s,+26d04m27.9s,G,6370,,2005SDSS4.C...0000:,55.6,5.9384,936
CGCG 166-045 NED01,15h44m01.90s,+27d41m57.2s,G,9651,,1995AJ....109.1458R,25.5,5.9482,4217
CGCG 166-045,15h44m02.80s,+27d41m55.0s,GPair,9673,,2011AJ....142..170H,25.6,5.9494,4239
CGCG 166-045 NED02,15h44m03.74s,+27d41m52.5s,G,9464,,1995AJ....109.1458R,25.6,5.9506,4030
2MASX J15470775+2716431,15h47m07.81s,+27d16m43.2s,G,9473,,2006SDSS5.C...0000:,35.4,5.9509,4039
SDSS J155433.64+221744.3,15h54m33.64s,+22d17m44.4s,G,7811,,2007SDSS6.C...0000:,104.0,5.9551,2377
SDSS J154345.59+274411.2,15h43m45.59s,+27d44m11.2s,G,9596,,2005SDSS4.C...0000:,24.7,5.9572,4162
SDSS J154711.81+271625.6,15h47m11.81s,+27d16m25.6s,G,9465,,2005SDSS4.C...0000:,35.6,5.9572,4031
SDSS J154138.12+275606.0,15h41m38.12s,+27d56m06.0s,G,10054,,2005SDSS4.C...0000:,18.4,5.9635,4620
SDSS J154804.72+195414.1,15h48m04.73s,+19d54m14.2s,G,9891,,2007SDSS6.C...0000:,139.1,6.0097,4457
ARK 484,15h41m29.97s,+27d59m11.3s,G,9641,,1995AJ....109.1458R,17.8,6.0134,4207
SDSS J153454.07+281346.7,15h34m54.07s,+28d13m46.8s,G,9725,,2007SDSS6.C...0000:,-0.1,6.0228,4291
SDSS J154155.33+275820.5,15h41m55.33s,+27d58m20.5s,G,9839,,2005SDSS4.C...0000:,19.0,6.0355,4405
2MASX J15414553+2759182,15h41m45.56s,+27d59m17.8s,G,9579,,2006SDSS5.C...0000:,18.5,6.0394,4145
CGCG 135-037,15h15m13.00s,+25d00m14.1s,G,10099,,2007SDSS6.C...0000:,-70.5,6.0429,4665
SDSS J155528.90+224937.8,15h55m28.91s,+22d49m37.9s,G,4310,,2007SDSS6.C...0000:,97.1,6.0734,-1124
CGCG 135-033,15h14m22.11s,+22d54m30.6s,G,6327,,2007SDSS6.C...0000:,-96.1,6.0746,893
SDSS J155252.72+210807.8,15h52m52.73s,+21d08m07.8s,G,7922,,2007SDSS6.C...0000:,118.9,6.0828,2488
CGCG 107-031,15h43m58.90s,+19d12m41.5s,G,7307,,1999PASP..111..438F,153.5,6.0892,1873
2MASX J15413557+2802583,15h41m35.58s,+28d02m58.6s,G,9587,,2006SDSS5.C...0000:,17.8,6.0985,4153
2MASX J15154579+2527494,15h15m45.80s,+25d27m49.3s,G,9890,,2000AJ....119...32G,-64.8,6.0987,4456
IC 4568,15h40m07.70s,+28d09m08.2s,G,9376,,1995AJ....109.1458R,13.8,6.1074,3942
SDSS J154428.60+191511.2,15h44m28.61s,+19d15m11.2s,G,7192,,2007SDSS6.C...0000:,152.0,6.1080,1758
SDSS J155434.82+215427.6,15h54m34.82s,+21d54m27.6s,G,4369,,2007SDSS6.C...0000:,108.5,6.1154,-1065
NGC 6008,15h52m56.03s,+21d06m01.8s,G,4869,,1991RC3.9.C...0000d,119.1,6.1198,-565
SDSS J153418.85+184143.8,15h34m18.85s,+18d41m43.8s,G,4345,,2007SDSS6.C...0000:,-178.2,6.1296,-1089
SDSS J154923.16+200253.9,15h49m23.16s,+20d02m53.9s,G,4187,,2007SDSS6.C...0000:,135.2,6.1323,-1247
2MASX J15414267+2804162,15h41m42.67s,+28d04m15.7s,G,10039,,2006SDSS5.C...0000:,18.1,6.1351,4605
SDSS J153413.41+281853.6,15h34m13.41s,+28d18m53.6s,G,9544,,2011ApJ...735..125S,-1.9,6.1355,4110
SDSS J152601.17+275305.5,15h26m01.17s,+27d53m05.6s,G,9653,,1997ApJS..111....1S,-24.2,6.1445,4219
2MASX J15413013+2805513,15h41m30.14s,+28d05m51.6s,G,9777,,2006SDSS5.C...0000:,17.4,6.1488,4342
CGCG 135-038,15h15m30.75s,+25d27m20.4s,G,6787,,1999PASP..111..438F,-65.2,6.1614,1353
SDSS J154059.95+280843.4,15h40m59.95s,+28d08m43.4s,G,9604,,2005SDSS4.C...0000:,16.0,6.1646,4170
SDSS J154159.89+280454.0,15h41m59.89s,+28d04m54.0s,G,9504,,2005SDSS4.C...0000:,18.7,6.1746,4070
2MFGC 12763,15h54m11.67s,+21d34m05.0s,G,8149,,1997AJ....113.1197H,112.6,6.1751,2715
CGCG 137-001,15h55m44.00s,+24d29m42.0s,GPair,9752,,1991RC3.9.C...0000d,77.1,6.1782,4318
UGC 10094,15h55m45.33s,+24d29m38.0s,G,9755,,1997AJ....114..122G,77.2,6.1843,4321
NGC 6008B,15h53m08.29s,+21d04m28.7s,G,5119,,1999PASP..111..438F,119.1,6.1892,-315
SDSS J154614.66+192502.6,15h46m14.67s,+19d25m02.7s,G,7266,,2007SDSS6.C...0000:,146.7,6.1897,1832
CGCG 107-005,15h34m06.95s,+18d38m57.2s,G,4475,,2007SDSS6.C...0000:,-177.7,6.1910,-959
SDSS J154145.33+280801.6,15h41m45.33s,+28d08m01.7s,G,9773,,2005SDSS4.C...0000:,17.9,6.2153,4339
2MASX J15415510+2807217,15h41m55.14s,+28d07m21.3s,G,9639,,2006SDSS5.C...0000:,18.4,6.2166,4205
SDSS J153703.12+282131.8,15h37m03.12s,+28d21m31.9s,G,9792,,2005SDSS4.C...0000:,5.4,6.2175,4357
SDSS J155423.83+213456.5,15h54m23.84s,+21d34m56.6s,G,8208,,2007SDSS6.C...0000:,112.2,6.2226,2774
SDSS J151948.81+265921.5,15h19m48.82s,+26d59m21.5s,G,9313,,2011ApJ...735..125S,-43.7,6.2263,3879
SDSS J155616.35+232923.2,15h56m16.36s,+23d29m23.3s,G,9860,,2006SDSS5.C...0000:,89.1,6.2288,4426
IC 4572,15h41m54.19s,+28d08m02.4s,G,9959,,1999PASP..111..438F,18.3,6.2290,4525
CGCG 166-037,15h41m52.33s,+28d08m28.3s,GPair,9919,,1995AJ....109.1458R,18.2,6.2348,4485
2MASX J15170025+2613045,15h17m00.36s,+26d13m04.5s,G,10351,,2011AJ....142..170H,-55.4,6.2356,4917
SDSS J155158.83+203628.9,15h51m58.84s,+20d36m28.9s,G,10429,,2011ApJ...735..125S,125.5,6.2357,4995
SDSS J154215.64+280647.7,15h42m15.65s,+28d06m47.7s,G,9778,,2005SDSS4.C...0000:,19.2,6.2377,4344
SDSS J154006.70+281628.4,15h40m06.70s,+28d16m28.4s,G,9469,,2000AJ....119..136O,13.4,6.2581,4035
SDSS J154021.34+281636.2,15h40m21.34s,+28d16m36.2s,G,9528,,2005SDSS4.C...0000:,14.0,6.2777,4094
[RPG97] 365,15h53m35.78s,+21d06m46.8s,GGroup,5156,,1997AJ....113..483R,118.1,6.2825,-278
SDSS J155422.58+212643.3,15h54m22.58s,+21d26m43.3s,G,8016,,2007SDSS6.C...0000:,113.7,6.2906,2582
[DZ2015] 711,15h41m15.12s,+28d14m13.2s,GGroup,9750,,2015A&A...578A..61D,16.3,6.2976,4316
IC 4570,15h41m22.59s,+28d13m47.1s,G,9623,,1995AJ....109.1458R,16.7,6.2991,4189
SDSS J152454.05+190844.4,15h24m54.05s,+19d08m44.5s,G,8818,,2011ApJ...735..125S,-151.3,6.3041,3383
USGC U733,15h53m38.60s,+21d05m51.0s,GTrpl,5160,,2002AJ....123.2976R,118.2,6.3045,-274
CGCG 166-061,15h49m48.66s,+27d08m16.3s,G,2145,,2006SDSS5.C...0000:,41.9,6.3056,-3289
SDSS J153119.48+183708.7,15h31m19.49s,+18d37m08.8s,G,4481,,2011ApJ...735..125S,-170.0,6.3177,-953
SDSS J154045.34+281725.5,15h40m45.35s,+28d17m25.6s,G,9553,,2005SDSS4.C...0000:,14.9,6.3240,4119
IC 4569,15h40m48.38s,+28d17m31.5s,G,9821,,1995AJ....109.1458R,15.1,6.3299,4387
KUG 1554+234,15h56m37.31s,+23d18m50.5s,G,8208,,2006SDSS5.C...0000:,91.1,6.3402,2774
SDSS J155327.92+205805.2,15h53m27.92s,+20d58m05.2s,G,5624,,2007SDSS6.C...0000:,119.7,6.3435,190
2MASX J15533082+2059009,15h53m30.80s,+20d59m01.4s,G,5579,,2007SDSS6.C...0000:,119.5,6.3453,145
SDSS J155337.48+210100.6,15h53m37.49s,+21d01m00.6s,G,8136,,2007SDSS6.C...0000:,119.0,6.3520,2702
WBL 581,15h40m52.22s,+28d18m24.7s,GGroup,9596,,1999AJ....118.2014W,15.2,6.3530,4162
2MASX J15533053+2057129,15h53m30.53s,+20d57m12.6s,G,8084,,2007SDSS6.C...0000:,119.8,6.3644,2650
IC 4574,15h41m59.24s,+28d14m25.2s,G,9726,,1996AJ....112.1759D,18.1,6.3655,4292
2MASX J15403208+2820148,15h40m32.12s,+28d20m14.5s,G,9292,,1990ApJS...72..433H,14.3,6.3657,3858
III Zw 074,15h27m43.66s,+28d14m03.3s,G,10303,,1995AJ....109.1458R,-18.6,6.3760,4869
2MASX J15410076+2819224,15h41m00.75s,+28d19m23.0s,G,9661,,2006SDSS5.C...0000:,15.5,6.3840,4227
SDSS J153129.29+183315.5,15h31m29.30s,+18d33m15.5s,G,2045,,2007SDSS6.C...0000:,-170.6,6.3915,-3389
SDSS J152449.95+275814.5,15h24m49.99s,+27d58m13.9s,G,9436,,2011ApJ...735..125S,-26.5,6.3920,4002
2MASX J15201708+2716084,15h20m17.11s,+27d16m08.0s,G,9799,,2011ApJ...735..125S,-40.6,6.3923,4365
MSPM 00259,15h40m51.60s,+28d20m27.6s,GClstr,9638,,2012MNRAS.422...25S,15.0,6.3943,4204
2MASX J15405159+2820274,15h40m51.59s,+28d20m27.7s,G,9851,,2006SDSS5.C...0000:,15.0,6.3943,4417
SDSS J151622.42+261347.7,15h16m22.42s,+26d13m47.8s,G,9785,,2011ApJ...735..125S,-56.1,6.3973,4351
2MASX J15402996+2821568,15h40m30.00s,+28d21m56.6s,G,8985,,1990ApJS...72..433H,14.1,6.3983,3551
CGCG 166-030 NED01,15h40m35.27s,+28d21m38.4s,G,9805,,1990ApJS...72..433H,14.3,6.3984,4371
2MASX J15414405+2817122,15h41m44.07s,+28d17m12.6s,G,9927,,2006SDSS5.C...0000:,17.3,6.3994,4493
CGCG 166-030,15h40m35.90s,+28d21m56.0s,GPair,9292,,1995AJ....109.1458R,14.3,6.4052,3858
SDSS J155249.76+203850.0,15h52m49.76s,+20d38m50.1s,G,8069,,2011ApJ...735..125S,123.7,6.4112,2635
RASSCALS NRGs 353,15h41m54.30s,+28d17m03.0s,GGroup,10092,,2000ApJ...534..114M,17.7,6.4113,4658
CGCG 166-030 NED02,15h40m36.48s,+28d22m13.5s,G,9237,,2000AJ....119..136O,14.3,6.4119,3803
USGC U718,15h42m04.15s,+28d16m29.0s,GGroup,9761,,1993AJ....106.1301Z,18.2,6.4147,4327
2MASX J15544113+2120469,15h54m41.10s,+21d20m47.1s,G,8094,,2007SDSS6.C...0000:,114.4,6.4287,2660
2MFGC 12618,15h41m38.41s,+28d19m13.7s,G,9795,,2006SDSS5.C...0000:,17.0,6.4323,4361
SDSS J155652.48+241554.1,15h56m52.48s,+24d15m54.2s,G,8924,,2006SDSS5.C...0000:,80.3,6.4602,3490
SDSS J152433.22+280007.6,15h24m33.22s,+28d00m07.7s,G,9604,,1990MNRAS.243..390K,-26.9,6.4647,4170
2MASX J15414368+2820442,15h41m43.69s,+28d20m43.8s,G,9830,,2006SDSS5.C...0000:,17.1,6.4704,4396
2MASX J15403284+2825188,15h40m32.81s,+28d25m19.2s,G,9980,,2006SDSS5.C...0000:,14.0,6.4714,4546
KUG 1550+207,15h53m04.61s,+20d38m10.2s,G,7932,,1999PASP..111..438F,123.5,6.4799,2498
SDSS J154115.77+282319.5,15h41m15.77s,+28d23m19.5s,G,9644,,2005SDSS4.C...0000:,15.8,6.4846,4210
SDSS J155316.30+262719.6,15h53m16.30s,+26d27m19.6s,G,9419,,2005SDSS4.C...0000:,53.6,6.4922,3985
2MASX J15153770+2605495,15h15m37.76s,+26d05m49.6s,G,10338,,2011AJ....142..170H,-58.4,6.4943,4904
[HGd90] 1539+2831,15h41m54.06s,+28d21m28.4s,G,9037,,1990ApJS...72..433H,17.5,6.5006,3603
SDSS J151243.57+232100.8,15h12m43.57s,+23d21m00.9s,G,4797,,2007SDSS6.C...0000:,-90.6,6.5023,-637
SDSS J151441.95+254301.6,15h14m41.96s,+25d43m01.6s,G,6798,,2011AJ....142..170H,-63.3,6.5111,1364
SDSS J155351.91+205158.5,15h53m51.92s,+20d51m58.6s,G,5261,,2007SDSS6.C...0000:,120.2,6.5139,-173
2MASX J15325681+1824461,15h32m56.87s,+18d24m46.3s,G,7086,,2007SDSS6.C...0000:,-174.7,6.5162,1652
SDSS J153027.28+283120.7,15h30m27.29s,+28d31m20.7s,G,10217,,2011ApJ...735..125S,-11.1,6.5267,4783
2MFGC 12365,15h18m00.38s,+26d54m52.2s,G,9947,,2011AJ....142..170H,-47.4,6.5405,4513
CGCG 135-036,15h14m57.41s,+25d53m43.7s,G,10071,,2011AJ....142..170H,-61.2,6.5432,4637
UGC 09828,15h22m30.96s,+19d15m40.9s,G,6875,,1997AJ....114..122G,-145.1,6.5463,1441
2MFGC 12426,15h23m12.61s,+27d54m19.3s,G,9446,,2011ApJ...735..125S,-30.4,6.5465,4012
2MFGC 12792,15h56m52.67s,+24d39m42.6s,G,7433,,2006SDSS5.C...0000:,75.9,6.5470,1999
2MASX J15204666+2731430,15h20m46.75s,+27d31m43.2s,G,9663,,2011AJ....142..170H,-37.7,6.5531,4229
SDSS J155510.94+212020.6,15h55m10.94s,+21d20m20.7s,G,5093,,2007SDSS6.C...0000:,113.9,6.5662,-341
NGC 5958,15h34m49.15s,+28d39m18.9s,G,2007,,2007SDSS6.C...0000:,-0.3,6.5681,-3427
SDSS J151433.28+254621.5,15h14m33.29s,+25d46m21.5s,G,6725,,2011AJ....142..170H,-62.9,6.5789,1291
2MASX J15572635+2316208,15h57m26.33s,+23d16m21.1s,G,7021,,2006SDSS5.C...0000:,91.4,6.5833,1587
